City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,altai,46.3722,96.2583,266.7,58,25,1.7,MN,1699239407
83,nantucket,41.2835,-70.0995,284.9,84,0,2.57,US,1699239407
84,punta arenas,-53.15,-70.9167,282.21,57,40,10.29,CL,1699239127
85,galliano,29.4422,-90.2992,290.93,94,0,0.0,US,1699239408
86,namibe,-15.1961,12.1522,293.98,91,97,2.33,AO,1699239261
87,sarayonu,38.262,32.4046,283.94,77,2,2.15,TR,1699239324
88,muang xay,20.7,101.9833,300.97,63,74,0.83,LA,1699239408
89,port saint john's,-31.6229,29.5448,292.28,93,44,1.85,ZA,1699239408
90,calingasta,-31.3308,-69.4078,292.8,17,0,1.4,AR,1699239409
91,holualoa,19.6228,-155.9522,299.06,74,75,3.6,US,1699239111
92,codrington,-38.2667,141.9667,300.71,33,100,0.94,AU,1699239409
93,longyearbyen,78.2186,15.6401,259.06,61,20,4.63,SJ,1699239409
94,georgetown,5.4112,100.3354,304.79,77,20,3.6,MY,1699239409
95,port elizabeth,-33.918,25.5701,287.31,93,0,2.06,ZA,1699239409
96,ataq,14.5377,46.8319,293.02,71,13,1.47,YE,1699239409
97,alofi,-19.0595,-169.9187,300.09,61,34,6.69,NU,1699239409
98,quesnel,52.9999,-122.5029,281.43,66,40,2.06,CA,1699239299
99,tiksi,71.6872,128.8694,248.49,99,46,2.32,RU,1699239409
100,al khafji,28.4391,48.4913,295.54,47,8,5.02,SA,1699239409
101,rawson,-43.3002,-65.1023,289.4,52,83,3.86,AR,1699239409
102,constantia,44.1833,28.65,285.76,67,66,8.84,RO,1699239409
103,vrangel',42.7297,133.0839,286.87,97,100,9.38,RU,1699239409
104,kilindoni,-7.9139,39.6668,299.19,84,100,4.62,TZ,1699239409
105,mujiayingzi,42.1167,118.7833,269.85,93,100,7.76,CN,1699239410
106,salinopolis,-0.6136,-47.3561,299.87,84,94,3.99,BR,1699239410
107,katsuura,35.1333,140.3,296.08,76,33,7.58,JP,1699239410
108,zambezi,-13.5432,23.1047,292.1,88,97,1.08,ZM,1699239410
109,hermanus,-34.4187,19.2345,288.82,86,100,0.14,ZA,1699239410
110,arteche,12.2645,125.4048,302.84,71,23,3.05,PH,1699239410
111,nagqu,31.5,92.0,263.4,44,3,1.76,CN,1699239410
112,tura,25.5198,90.2201,296.9,66,0,1.07,IN,1699239410
113,faya-largeau,17.9257,19.1043,296.48,18,0,6.74,TD,1699239410
114,kapuskasing,49.4169,-82.4331,269.15,68,100,3.09,CA,1699239187
115,naze,28.3667,129.4833,300.66,72,39,5.07,JP,1699239410
116,murray bridge,-35.1167,139.2667,302.78,29,10,5.04,AU,1699239410
117,saint-yrieix-sur-charente,45.6833,0.1167,283.81,87,75,4.12,FR,1699239410
118,remire-montjoly,4.9167,-52.2667,300.17,89,75,1.54,GF,1699239410
119,casa grande,32.8795,-111.7573,296.83,24,0,0.0,US,1699239410
120,smidovich,48.6,133.8167,266.82,77,100,8.29,RU,1699239410
121,san patricio,28.017,-97.5169,297.07,75,100,3.68,US,1699239411
122,puerto ayora,-0.7393,-90.3518,298.46,89,88,3.58,EC,1699239411
123,mount gambier,-37.8333,140.7667,299.76,31,77,2.09,AU,1699239411
124,kulhudhuffushi,6.6221,73.07,301.04,73,100,2.51,MV,1699239411
125,sylvan lake,52.3168,-114.0853,276.91,84,75,2.57,CA,1699239411
126,kudowa-zdroj,50.443,16.244,283.1,83,72,7.94,PL,1699239411
127,barra de santo antonio,-9.4047,-35.5072,298.75,81,62,4.81,BR,1699239411
128,halberstadt,51.9,11.05,282.97,73,100,7.53,DE,1699239411
129,isafjordur,66.0755,-23.124,273.29,92,100,11.96,IS,1699239411
130,kuna,43.4918,-116.4201,286.79,93,40,2.06,US,1699239411
131,greenville,35.6127,-77.3663,283.78,90,0,0.0,US,1699239173
132,weno,7.4515,151.8468,304.12,74,75,5.66,FM,1699239411
133,esmeralda,21.8525,-78.1169,296.93,91,99,2.98,CU,1699239411
134,kumylzhenskaya,49.8809,42.5898,282.03,75,91,3.54,RU,1699239411
135,nar'yan-mar,67.6713,53.087,272.65,95,100,9.39,RU,1699239412
136,jamestown,42.097,-79.2353,277.95,79,0,2.06,US,1699239176
137,al jawf,29.5,38.75,294.38,54,1,3.99,SA,1699239412
138,tabou,4.423,-7.3528,298.41,89,16,1.91,CI,1699239412
139,sundumbili,-29.1337,31.3975,292.99,94,95,3.76,ZA,1699239412
140,coahuayana de hidalgo,18.7,-103.6583,298.47,89,99,0.42,MX,1699239412
141,hualien city,23.9769,121.6044,301.75,69,14,2.06,TW,1699239412
142,deschutes river woods,43.9915,-121.3584,281.5,84,0,1.54,US,1699239412
143,tianpeng,30.9866,103.9393,292.71,32,43,1.74,CN,1699239412
144,broni,45.0655,9.2623,282.1,92,6,1.36,IT,1699239412
145,hasaki,35.7333,140.8333,298.37,70,9,8.04,JP,1699239412
146,anadyr,64.75,177.4833,262.43,78,0,6.0,RU,1699239412
147,madhubani,26.3667,86.0833,297.04,58,0,2.39,IN,1699239412
148,alice springs,-23.7,133.8833,306.9,10,0,4.63,AU,1699239412
149,upata,8.0086,-62.3989,296.98,86,95,2.12,VE,1699239412
150,crane,31.3974,-102.3501,291.72,65,94,6.94,US,1699239413
151,kapa'a,22.0752,-159.319,302.14,77,100,7.72,US,1699239188
152,avarua,-21.2078,-159.775,297.18,64,40,5.66,CK,1699239413
153,nansio,-2.1333,33.05,294.69,81,98,5.15,TZ,1699239413
154,kerch,45.3583,36.4758,291.24,77,97,8.49,UA,1699239413
155,palma soriano,20.2172,-75.9989,299.63,94,59,1.14,CU,1699239358
156,vila franca do campo,37.7167,-25.4333,286.97,99,57,2.89,PT,1699239413
157,kristiansund,63.1115,7.732,279.51,70,100,1.03,NO,1699239413
158,port macquarie,-31.4333,152.9167,291.67,64,96,2.03,AU,1699239413
159,parun,35.4207,70.9221,277.33,70,38,0.5,AF,1699239413
160,san salvador el seco,19.1333,-97.65,285.03,82,62,2.35,MX,1699239413
161,st. john's,47.5649,-52.7093,283.69,98,100,5.66,CA,1699239255
162,al bayda',32.7627,21.7551,289.04,69,0,2.56,LY,1699239319
163,prince george,53.9166,-122.753,280.84,86,100,3.09,CA,1699239413
164,klyuchi,52.2667,79.1667,269.62,90,32,2.4,RU,1699239413
165,inhambane,-23.865,35.3833,294.06,84,2,0.88,MZ,1699239413
166,cromer,52.9312,1.2989,280.45,90,100,7.74,GB,1699239413
167,la passe,45.5549,-0.8967,284.81,81,99,8.06,FR,1699239414
168,malanje,-9.5402,16.341,291.56,96,100,0.47,AO,1699239414
169,ondjiva,-17.0667,15.7333,297.17,20,0,3.6,AO,1699239414
170,veinticinco de mayo,-35.4323,-60.1727,287.58,87,0,0.45,AR,1699239414
171,miquelon,47.0975,-56.3814,280.15,73,100,10.39,PM,1699239414
172,dahab,28.501,34.5134,300.0,47,0,4.35,EG,1699239414
173,lycksele,64.5954,18.6735,272.08,93,100,2.06,SE,1699239414
174,waiuku,-37.25,174.75,292.77,61,6,4.63,NZ,1699239414
175,lingyuan,41.24,119.4011,271.44,92,100,7.69,CN,1699239414
176,petropavlovsk-kamchatsky,53.0452,158.6483,272.29,88,75,4.92,RU,1699239414
177,el alto,-4.2714,-81.2147,292.96,83,21,7.57,PE,1699239414
178,pokhara,28.2333,83.9833,292.72,62,2,1.1,NP,1699239117
179,kota kinabalu,5.9749,116.0724,304.14,74,20,2.06,MY,1699239414
180,whitehorse,60.7161,-135.0538,271.58,81,100,6.17,CA,1699239415
181,tsiombe,-25.3,45.4833,295.25,82,100,3.82,MG,1699239415
182,touros,-5.1989,-35.4608,299.53,70,38,5.37,BR,1699239415
183,paso de carrasco,-34.8603,-56.0522,289.23,88,0,2.06,UY,1699239415
184,pizarro,4.9533,-77.366,297.9,93,100,2.42,CO,1699239416
185,kiunga,-6.1219,141.2906,304.39,61,99,1.48,PG,1699239416
186,treasure island,27.7692,-82.769,293.25,77,0,4.12,US,1699239417
187,saipan,15.1355,145.701,304.54,66,40,5.66,MP,1699239417
188,broome,42.2506,-75.833,277.36,77,0,2.06,US,1699239417
189,susuman,62.7833,148.1667,253.93,94,87,0.6,RU,1699239417
190,queenstown,-31.8976,26.8753,287.26,85,2,1.33,ZA,1699239126
191,antigonish,45.6169,-61.9986,279.27,75,95,0.89,CA,1699239417
192,qaqortoq,60.7167,-46.0333,272.09,92,100,6.3,GL,1699239417
193,antsiranana,-12.2787,49.2917,298.45,78,26,7.06,MG,1699239417
194,nuuk,64.1835,-51.7216,273.08,72,100,7.15,GL,1699239417
195,mount pearl,47.5166,-52.7813,283.23,98,100,5.66,CA,1699239417
196,carora,10.1755,-70.0827,298.06,84,73,0.82,VE,1699239417
197,urengoy,65.9667,78.3667,262.28,97,92,3.42,RU,1699239418
198,ebolowa,2.9,11.15,294.12,98,100,0.33,CM,1699239418
199,la ronge,55.1001,-105.2842,269.29,93,100,5.66,CA,1699239418
200,pakxan,18.3778,103.6601,306.44,62,33,1.1,LA,1699239418
201,iskateley,67.6803,53.1512,272.6,95,100,9.39,RU,1699239418
202,yeraliyev,43.2,51.65,287.29,84,47,4.47,KZ,1699239419
203,atascadero,35.4894,-120.6707,291.0,49,11,1.08,US,1699239419
204,vorgashor,67.5833,63.95,263.67,92,100,3.42,RU,1699239419
205,tazovsky,67.4667,78.7,259.12,98,94,2.71,RU,1699239419
206,horta,38.5333,-28.6333,286.49,79,92,3.13,PT,1699239419
207,san miguel,13.4833,-88.1833,297.04,97,100,0.86,SV,1699239324
208,machico,32.7,-16.7667,291.88,81,40,7.2,PT,1699239419
209,macheng,31.1783,115.0319,287.99,26,11,4.01,CN,1699239419
210,egersund,58.4513,5.9997,280.42,77,100,3.23,NO,1699239419
211,esquina,-30.0144,-59.5272,286.71,88,0,2.03,AR,1699239420
212,rajmahal,25.05,87.8333,298.02,59,1,1.61,IN,1699239420
213,nadi,-17.8,177.4167,303.15,66,75,6.69,FJ,1699239420
214,artigues-pres-bordeaux,44.85,-0.5167,283.61,93,75,2.57,FR,1699239420
215,ardakan,32.31,54.0175,287.6,56,0,1.24,IR,1699239420
216,uturoa,-16.7333,-151.4333,298.9,80,14,5.67,PF,1699239420
217,iqaluit,63.7506,-68.5145,270.0,63,100,13.38,CA,1699239420
218,ancud,-41.8697,-73.8203,284.05,95,100,6.92,CL,1699239420
219,bohuslav,49.5494,30.8744,284.57,75,77,7.64,UA,1699239420
220,portland,45.5234,-122.6762,286.09,94,100,1.34,US,1699239128
221,kashira,54.8444,38.1669,282.31,90,84,6.17,RU,1699239420
222,magadan,59.5667,150.8,266.77,74,43,4.26,RU,1699239420
223,angaur state,6.906,134.13,301.89,73,30,2.13,PW,1699239420
224,kodiak,57.79,-152.4072,271.88,55,20,5.66,US,1699239420
225,rikaze,29.25,88.8833,276.17,16,0,1.17,CN,1699239420
226,santo antonio do ica,-3.1022,-67.9397,297.28,97,94,1.41,BR,1699239421
227,fortuna,40.5982,-124.1573,289.78,92,100,3.09,US,1699239359
228,laminusa,5.5549,120.9136,302.07,68,72,0.74,PH,1699239421
229,karis,60.0718,23.6616,280.72,88,100,3.13,FI,1699239421
230,bidford-on-avon,52.1673,-1.8565,282.2,94,80,1.34,GB,1699239421
231,rosarito,32.3333,-117.0333,292.96,75,24,1.52,MX,1699239421
232,kangding,30.0513,101.9603,285.05,31,93,0.52,CN,1699239421
233,nova xavantina,-14.6667,-52.35,300.28,54,1,0.21,BR,1699239421
